category,priority,source,agency,name,type,url,primary_use,notes
customs_openapi,core,data.go.kr,관세청,관세청_품목별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15100475/openapi.do,"HS Code, 국가, 월별 수출입 금액/중량/무역수지 기반 시장 추천","운영계정 심의승인 가능"
customs_openapi,core,data.go.kr,관세청,관세청_품목별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101609/openapi.do,"HS Code 기준 품목별 수출입 트렌드 분석",""
customs_openapi,core,data.go.kr,관세청,관세청_국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101612/openapi.do,"국가별 수출입 총량, 목적국/원산국 후보 평가",""
customs_openapi,core,data.go.kr,관세청,관세청_수출입총괄(GW),REST XML,https://www.data.go.kr/data/15102108/openapi.do,"전체 수출입 흐름과 거시 지표",""
customs_openapi,core,data.go.kr,관세청,관세청_세관장확인대상물품(GW),REST XML,https://www.data.go.kr/data/15101589/openapi.do,"HS Code별 신고인 확인법령, 요건승인기관, 인허가 체크",""
customs_openapi,core,data.go.kr,관세청,관세청_관세환율정보(GW),REST XML,https://www.data.go.kr/data/15101230/openapi.do,"관세 과세환율, 원화 환산, 수입원가 계산",""
customs_openapi,core,data.go.kr,관세청,관세청_수입 주요품목별 10일 단위 잠정치 통계,REST XML,https://www.data.go.kr/data/15157901/openapi.do,"주요 수입품목 10일 단위 조기 모니터링",""
customs_openapi,important,data.go.kr,관세청,관세청_신성질별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101616/openapi.do,"신성질 분류 기반 소비재/자본재/원자재 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_신성질별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101607/openapi.do,"국가별 신성질 분류 수출입 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_성질별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15102109/openapi.do,"성질별 분류 기반 수출입 구조 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_성질별 국가별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15100476/openapi.do,"성질 분류와 국가를 결합한 시장 분석",""
customs_openapi,important,data.go.kr,관세청,관세청_경제권별 수출입실적(GW),REST XML,https://www.data.go.kr/data/15101632/openapi.do,"경제권별 수출입 분석",""
